id,Open,Close,High,High Date,Low,Low Date,MoMean,MoMeanChg,MoSum,MoSumChg,PrevMoSum,PrevMoMean,Units,PrevMaxVal,PrevMaxDate,New ATH
ticketprice,240.07,286.91,333.85,2023-05-27,172.76,2023-05-17,245.95,1.41,0,0.0,0,242.54,DCR,496.5,2023-02-05,
stakepart,64.92,62.22,65.12,2023-05-07,61.66,2023-05-16,63.74,-1.96,0,0.0,0,65.01,%,65.29,2023-04-07,
ticketpoolval,"9,853,769.85","9,494,952.52","9,895,317.67",2023-05-07,"9,383,803.04",2023-05-16,"9,700,588.61",-1.43,0,0.0,0,"9,841,196.26",DCR,"9,882,748.69",2023-04-27,*
missedVotes,4,3,7,2023-05-06,0,2023-05-04,3.20,-2.14,195,-0.51,196,3.27,votes,128,2016-06-26,
votes,"1,388","1,276","1,661",2023-05-15,"1,206",2023-05-06,"1,427.16",-0.19,"44,242",3.13,"42,898","1,429.93",votes,"2,174",2022-08-13,
tickets,"1,425",962,"2,443",2023-05-18,701,2023-05-14,"1,393.39",-3.64,"43,195",-0.43,"43,381","1,446.03",tickets,"7,166",2016-02-09,
Hashrate,"73,599","66,388","88,240",2023-05-04,"60,925",2023-05-23,"71,988.29",-6.5,0,0.0,0,"76,991.47",TH/s,"595,057",2019-07-23,
TxTfrValAdjNtv,"70,312.27","158,848.50","400,396.17",2023-05-09,"60,159.53",2023-05-28,"144,962.44",-68.34,"4,493,835.52",-67.28,"13,735,370.11","457,845.67",DCR,"1,535,102.31",2021-02-13,
TxTfrValAdjUSD,"1,237,346.97","2,513,550.07","6,858,848.18",2023-05-09,"1,009,945.58",2023-05-27,"2,485,481.73",-73.3,"77,049,933.71",-72.41,"279,228,670.07","9,307,622.34",USD,"258,376,309.02",2021-04-29,
dexVolumeUSD,"19,005.71","31,647.14","38,654.67",2023-05-02,0,2023-05-18,"12,842.28",-21.33,"398,110.54",-18.7,"489,706.84","16,323.56",USD,"11,222,193.49",2021-04-07,
dexVolumeDCR,"1,080","2,000","2,160",2023-05-02,0,2023-05-18,740.65,-9.09,"22,960",-6.06,"24,440",814.67,DCR,"61,720",2021-04-07,
feesDCR,0.00,0.00,0.03,2023-05-09,0.00,2023-05-01,0.01,-7.3,0.31,-4.21,0.32,0.01,DCR,426.94,2016-02-09,
txCount,"5,291","4,105","6,816",2023-05-18,"3,644",2023-05-14,"4,981.94",-3.32,"154,440",-0.09,"154,584","5,152.80",tx,"11,139",2021-02-16,
blkSize,5.68,4.27,8.73,2023-05-20,2.91,2023-05-14,5.86,-3.26,181.63,-0.04,181.70,6.06,MB,32.39,2022-03-08,
blkchainSize,"10,754.53","10,930.48","10,930.48",2023-05-31,"10,754.53",2023-05-01,"10,844.26",1.69,0,0.0,0,"10,663.98",MB,"10,748.85",2023-04-30,
blkTime,285,301,353,2023-05-07,259,2023-05-16,300.19,-0.46,0,0.0,0,301.57,s,779,2022-02-12,
issuancePoW,256.84,231.14,304.39,2023-05-15,223.07,2023-05-06,261.71,-1.66,"8,113.08",1.62,"7,983.57",266.12,dcr,"6,676.61",2017-04-25,
issuancePoS,"2,037.40","1,836.09","2,413.99",2023-05-15,"1,770.25",2023-05-06,"2,076.78",-1.58,"64,380.13",1.7,"63,301.67","2,110.06",dcr,"3,608.43",2022-07-28,
issuanceTres,255.04,230.23,303.38,2023-05-15,222.93,2023-05-06,260.73,-1.6,"8,082.50",1.68,"7,948.87",264.96,dcr,"1,083.50",2017-04-25,
issuancePoWUSD,"4,519.84","3,657.46","5,433.60",2023-05-07,"3,657.46",2023-05-31,"4,499.31",-16.42,"139,478.64",-13.63,"161,489.57","5,382.99",USD,"552,086.73",2021-04-22,
issuancePoSUSD,"35,853.93","29,053.50","43,129.51",2023-05-07,"29,053.50",2023-05-31,"35,703.11",-16.35,"1,106,796.32",-13.56,"1,280,411.15","42,680.37",USD,"275,818.64",2021-04-22,
issuanceTresUSD,"4,488.16","3,643.06","5,427.49",2023-05-07,"3,643.06",2023-05-31,"4,482.31",-16.37,"138,951.59",-13.58,"160,782.50","5,359.42",USD,"91,939.55",2021-04-22,
PrivacyVol,"348,122.69","329,993.34","496,602.65",2023-05-18,"143,471.46",2023-05-14,"368,577.45",-5.17,"11,425,901.08",-2.0,"11,659,648.26","388,654.94",DCR,"864,836.92",2023-02-11,
PrivacyVolUSD,"6,126,222.10","5,221,672.23","8,525,674.52",2023-05-18,"2,491,513.72",2023-05-14,"6,330,982.32",-19.53,0,0.0,0,"7,867,594.60",USD,"138,667,322.97",2016-02-08,
PrivacyMixedPC,61.82,61.88,61.88,2023-05-31,61.78,2023-05-18,61.84,0.45,0,0.0,0,61.56,%,61.81,2023-04-27,*
