id,Open,Close,High,High Date,Low,Low Date,MoMean,MoMeanChg,MoSum,MoSumChg,PrevMoSum,PrevMoMean,Units,PrevMaxVal,PrevMaxDate,New ATH
ticketprice,168.93,284.68,700.7,13/10/2023,157.22,24/10/2023,335.7,61.81,0,0.0,0,207.47,DCR,496.5,05/02/2023,*
stakepart,54.59,63.2,63.46,10/10/2023,53.93,04/10/2023,60.4,1.23,0,0.0,0,59.67,%,65.43,07/04/2023,
ticketpoolval,"8,478,943.55","9,863,878.75","9,870,897.09",10/10/2023,"8,381,181.75",04/10/2023,"9,404,792.40",1.75,0,0.0,0,"9,242,727.12",DCR,"9,895,317.67",07/05/2023,
missedVotes,5,3,80,04/10/2023,2,11/10/2023,7.03,14.07,443,7.26,413,6.16,votes,128,26/06/2016,
votes,"1,365","1,470","1,582",02/10/2023,"1,221",23/10/2023,"1,438.74",-10.61,"44,601",-7.64,"48,288","1,609.60",votes,"4,825",06/09/2023,
tickets,"1,476","1,155","2,920",23/10/2023,418,13/10/2023,"1,481.16",-11.58,"45,916",-8.63,"50,253","1,675.10",tickets,"7,166",09/02/2016,
Hashrate,11,11,11,01/10/2023,0,09/10/2023,9.58,161.29,0,0.0,0,3.67,TH/s,"595,057",23/07/2019,
TxTfrValAdjNtv,"51,877.77","139,209.08","525,280.71",07/10/2023,"45,148.84",11/10/2023,"166,860.15",8.58,"5,172,664.76",12.2,"4,610,330.31","153,677.68",DCR,"1,535,102.31",13/02/2021,
TxTfrValAdjUSD,"725,090.21","1,820,569.20","6,955,211.60",07/10/2023,"560,288.85",12/10/2023,"2,137,569.97",5.4,"66,264,668.95",8.92,"60,838,821.90","2,027,960.73",USD,"258,376,309.02",29/04/2021,
dexVolumeUSD,"15,654.12",523.12,"27,824.37",02/10/2023,0,12/10/2023,"4,819.03",-49.22,"149,389.85",-47.53,"284,694.26","9,489.81",USD,"11,222,193.49",07/04/2021,
dexVolumeDCR,"1,120",40,"2,040",02/10/2023,0,12/10/2023,371.61,-48.2,"11,520",-46.47,"21,520",717.33,DCR,"61,720",07/04/2021,
feesDCR,0.01,0,0.17,04/10/2023,0,31/10/2023,0.03,-2.51,0.84,0.74,0.83,0.03,DCR,426.94,09/02/2016,
txCount,"5,001","4,541","7,683",24/10/2023,"3,007",10/10/2023,"4,992.32",-13.26,"154,762",-10.37,"172,674","5,755.80",tx,"12,778",07/09/2023,
blkSize,5.73,5.28,13.3,08/10/2023,2.64,13/10/2023,6.41,-10.13,198.75,-7.14,214.02,7.13,MB,32.39,08/03/2022,
blkchainSize,"11,694.68","11,887.70","11,887.70",31/10/2023,"11,694.68",01/10/2023,"11,787.85",1.73,0,0.0,0,"11,587.31",MB,"11,688.95",30/09/2023,
blkTime,250,274,349,24/10/2023,250,01/10/2023,296.16,0.35,0,0.0,0,295.13,s,819,02/09/2023,
issuancePoW,25.6,26.66,30.49,24/10/2023,22.8,10/10/2023,26.77,-11.99,829.73,-9.06,912.36,30.41,dcr,"6,676.61",25/04/2017,
issuancePoS,"2,079.07","2,194.88","2,409.59",02/10/2023,"1,841.33",23/10/2023,"2,165.82",-11.91,"67,140.40",-8.97,"73,757.20","2,458.57",dcr,"7,394.91",06/09/2023,
issuanceTres,235.31,247.45,273.82,02/10/2023,208.41,23/10/2023,245.74,-11.8,"7,618.05",-8.86,"8,358.70",278.62,dcr,"1,083.50",25/04/2017,
issuancePoWUSD,357.81,348.66,402.36,02/10/2023,288.36,10/10/2023,340.24,-15.31,"10,547.44",-12.49,"12,053.08",401.77,USD,"552,086.73",22/04/2021,
issuancePoSUSD,"29,058.95","28,704.53","32,865.36",02/10/2023,"22,761.70",23/10/2023,"27,513.75",-15.3,"852,926.40",-12.48,"974,529.79","32,484.33",USD,"275,818.64",22/04/2021,
issuanceTresUSD,"3,288.90","3,236.14","3,734.74",02/10/2023,"2,576.27",23/10/2023,"3,122.10",-15.19,"96,785.08",-12.36,"110,440.79","3,681.36",USD,"91,939.55",22/04/2021,
PrivacyVol,"283,802.18","406,281.73","1,035,530.39",07/10/2023,"271,050.14",10/10/2023,"476,274.06",21.75,"14,764,495.88",25.81,"11,735,712.97","391,190.43",DCR,"905,516.52",07/09/2023,*
PrivacyVolUSD,"3,966,673.87","5,313,331.50","13,711,398.17",07/10/2023,"3,428,119.00",10/10/2023,"6,066,988.14",17.52,0,0.0,0,"5,162,715.86",USD,"138,667,322.97",08/02/2016,
PrivacyMixedPC,62.58,62.21,62.58,01/10/2023,62.03,07/10/2023,62.36,0.0,0,0.0,0,62.36,%,62.55,26/09/2023,*
PrivacyMixedDCR,"9,721,156.55","9,708,476.16","9,733,635.44",10/10/2023,"9,644,035.00",07/10/2023,"9,709,560.16",0.5,0,0.0,0,"9,661,221.64",DCR,"9,710,493.32",30/09/2023,*
NodeCount,153,151,153,01/10/2023,145,17/10/2023,149.1,-1.8,0,0.0,0,151.83,nodes,188,24/01/2023,
lnChannels,429,448,448,31/10/2023,429,01/10/2023,436.68,1.69,0,0.0,0,429.43,chCount,450,21/07/2023,
lnNodes,211,219,219,31/10/2023,211,01/10/2023,213.45,0.81,0,0.0,0,211.73,Nodes,219,26/07/2023,
