id,Open,Close,High,High Date,Low,Low Date,MoMean,MoMeanChg,MoSum,MoSumChg,PrevMoSum,PrevMoMean,Units,PrevMaxVal,PrevMaxDate,New ATH
treasuryBalanceDCR,"2,951,479,871,787.29","2,951,479,879,867.26","2,951,479,879,867.26",30/09/2023,"2,951,479,871,787.29",01/09/2023,"2,951,479,875,983.13",13.76,0,0,0,"2,594,446,064,594.63",DCR,"20,291,419,285,448.60",30/07/2022,
treasuryBalanceUSD,"37,803,275,054,395.40","40,393,042,630,538.80","40,393,042,630,538.80",30/09/2023,"36,683,006,047,089.70",11/09/2023,"38,975,312,097,812.20",8.3,0,0,0,"35,986,743,585,713.60",USD,"3,768,090,182,758,600",16/04/2021,
ticketprice,236.65,164.45,279.84,15/09/2023,141.41,25/09/2023,207.47,-13.04,0,0,0,238.57,DCR,496.5,05/02/2023,
stakepart,63.19,54.89,63.54,05/09/2023,54.89,30/09/2023,59.66,-6.03,0,0,0,63.5,%,65.43,07/04/2023,
ticketpoolval,"9,761,961.24","8,524,917.73","9,821,361.81",05/09/2023,"8,524,917.73",30/09/2023,"9,242,727.12",-5.58,0,0,0,"9,788,575.28",DCR,"9,895,317.67",07/05/2023,
missedVotes,9,11,18,18/09/2023,0,12/09/2023,6.16,47.63,413,73.53,238,4.18,votes,128,26/06/2016,
votes,294,"1,701","4,825",06/09/2023,294,01/09/2023,"1,609.60",14.38,"48,288",18.32,"40,810","1,407.24",votes,"2,174",13/08/2022,*
tickets,401,"1,934","3,769",07/09/2023,401,01/09/2023,"1,675.10",17.34,"50,253",21.38,"41,400","1,427.59",tickets,"7,166",09/02/2016,
Hashrate,0,11,11,10/09/2023,0,01/09/2023,3.67,-99.99,0,0,0,"48,111.42",TH/s,"595,057",23/07/2019,
TxTfrValAdjNtv,"88,789.03","72,688.11","981,258.62",07/09/2023,"36,857.36",12/09/2023,"153,677.68",-4.51,"4,610,330.31",-4.51,"4,828,084.44","160,936.15",DCR,"1,535,102.31",13/02/2021,
TxTfrValAdjUSD,"1,137,231.55","994,787.06","13,079,477.10",07/09/2023,"464,952.91",12/09/2023,"2,027,960.73",-8.84,"60,838,821.90",-8.84,"66,739,329.94","2,224,644.33",USD,"258,376,309.02",29/04/2021,
dexVolumeUSD,"2,049.32","13,685.69","18,340.33",14/09/2023,0,05/09/2023,"9,489.81",50.18,"284,694.26",45.33,"195,888.53","6,318.98",USD,"11,222,193.49",07/04/2021,
dexVolumeDCR,160,"1,000","1,400",14/09/2023,0,05/09/2023,717.33,60.21,"21,520",55.04,"13,880",447.74,DCR,"61,720",07/04/2021,
feesDCR,0,0.06,0.13,11/09/2023,0,01/09/2023,0.03,79.6,0.83,73.81,0.48,0.02,DCR,426.94,09/02/2016,
txCount,"1,255","6,169","12,778",07/09/2023,"1,255",01/09/2023,"5,755.80",25.41,"172,674",21.37,"142,273","4,589.45",tx,"11,139",16/02/2021,*
blkSize,0.91,8.4,15.9,07/09/2023,0.91,01/09/2023,7.13,33.23,214.02,28.94,165.99,5.35,MB,32.39,08/03/2022,
blkchainSize,"11,475.84","11,688.95","11,688.95",30/09/2023,"11,475.84",01/09/2023,"11,587.31",1.63,0,0,0,"11,401.64",MB,"11,474.93",31/08/2023,
blkTime,0,295,819,02/09/2023,0,01/09/2023,295.13,1.1,0,0,0,291.94,s,779,12/02/2022,*
issuancePoW,5.54,32.29,87.54,06/09/2023,5.54,01/09/2023,30.41,-87.71,912.36,-87.28,"7,175.42",247.43,dcr,"6,676.61",25/04/2017,
issuancePoS,452.27,"2,590.84","7,394.91",06/09/2023,452.27,01/09/2023,"2,458.57",25.38,"73,757.20",29.71,"56,864.48","1,960.84",dcr,"3,608.43",28/07/2022,*
issuanceTres,51.85,294.35,838.32,06/09/2023,51.85,01/09/2023,278.62,13.03,"8,358.70",16.92,"7,148.79",246.51,dcr,"1,083.50",25/04/2017,
issuancePoWUSD,70.96,441.91,"1,142.94",06/09/2023,70.96,01/09/2023,401.77,-88.3,"12,053.08",-87.89,"99,548.56","3,432.71",USD,"552,086.73",22/04/2021,
issuancePoSUSD,"5,792.78","35,457.44","96,549.84",06/09/2023,"5,792.78",01/09/2023,"32,484.33",19.41,"974,529.79",23.53,"788,913.02","27,203.90",USD,"275,818.64",22/04/2021,
issuanceTresUSD,664.11,"4,028.38","10,945.32",06/09/2023,664.11,01/09/2023,"3,681.36",7.64,"110,440.79",11.36,"99,178.59","3,419.95",USD,"91,939.55",22/04/2021,
PrivacyVol,"39,771.55","392,262.23","905,516.52",07/09/2023,"39,771.55",01/09/2023,"391,190.43",9.66,"11,735,712.97",6.12,"11,059,046.96","356,743.45",DCR,"864,836.92",11/02/2023,*
PrivacyVolUSD,"509,403.76","5,368,379.74","12,069,888.93",07/09/2023,"509,403.76",01/09/2023,"5,162,715.86",4.26,0,0,0,"4,951,618.24",USD,"138,667,322.97",08/02/2016,
PrivacyMixedPC,62.46,62.52,62.55,26/09/2023,60.74,07/09/2023,62.36,-0.13,0,0,0,62.44,%,62.48,29/08/2023,*
