id,Open,Close,High,High Date,Low,Low Date,MoMean,MoMeanChg,MoSum,MoSumChg,PrevMoSum,PrevMoMean,Units,PrevMaxVal,PrevMaxDate,New ATH
ticketprice,244.0,237.09,244.0,2023-08-01,235.91,2023-08-07,238.57,-1.62,0,0.0,0,242.49,DCR,496.5,2023-02-05,
stakepart,63.67,63.17,63.7,2023-08-06,63.17,2023-08-29,63.5,-0.74,0,0.0,0,63.97,%,65.43,2023-04-07,
ticketpoolval,"9,791,983.58","9,759,041.51","9,811,857.77",2023-08-13,"9,758,751.39",2023-08-29,"9,788,575.95",-0.24,0,0.0,0,"9,812,452.72",DCR,"9,895,317.67",2023-05-07,
missedVotes,6,1,9,2023-08-21,0,2023-08-05,4.18,20.41,238,10.7,215,3.47,votes,128,2016-06-26,
votes,"1,526",927,"1,814",2023-08-09,927,2023-08-29,"1,407.24",-1.76,"40,810",-8.1,"44,406","1,432.45",votes,"2,174",2022-08-13,
tickets,"1,495",942,"1,802",2023-08-09,942,2023-08-29,"1,427.59",-1.15,"41,400",-7.53,"44,771","1,444.23",tickets,"7,166",2016-02-09,
Hashrate,"58,645",0,"64,618",2023-08-10,0,2023-08-30,"48,111.42",-18.41,0,0.0,0,"58,967.19",TH/s,"595,057",2019-07-23,
TxTfrValAdjNtv,"88,751.15",0,"538,993.82",2023-08-09,0,2023-08-30,"160,936.15",31.22,"4,828,084.44",26.99,"3,802,052.96","122,646.87",DCR,"1,535,102.31",2021-02-13,
TxTfrValAdjUSD,"1,275,628.01",0,"7,792,670.13",2023-08-09,0,2023-08-30,"2,224,644.33",17.52,"66,739,329.94",13.73,"58,683,387.13","1,893,012.49",USD,"258,376,309.02",2021-04-29,
dexVolumeUSD,"18,397.55",0,"22,324.47",2023-08-25,0,2023-08-10,"6,318.98",46.25,"195,888.53",46.25,"133,943.60","4,320.76",USD,"11,222,193.49",2021-04-07,
dexVolumeDCR,"1,280",0,"1,680",2023-08-25,0,2023-08-10,447.74,61.4,"13,880",61.4,"8,600",277.42,DCR,"61,720",2021-04-07,
feesDCR,0.03,0,0.03,2023-08-10,0,2023-08-31,0.02,38.48,0.48,38.48,0.35,0.01,DCR,426.94,2016-02-09,
txCount,"5,272",7,"5,939",2023-08-09,7,2023-08-31,"4,589.45",-7.32,"142,273",-7.32,"153,505","4,951.77",tx,"11,139",2021-02-16,
blkSize,6.34,0.00,7.44,2023-08-09,0.00,2023-08-31,5.35,-11.19,166.00,-11.19,186.92,6.03,MB,32.39,2022-03-08,
blkchainSize,"11,315.23","11,474.88","11,474.88",2023-08-31,"11,315.23",2023-08-01,"11,401.59",1.63,0,0.0,0,"11,218.76",MB,"11,308.88",2023-07-31,
blkTime,308,0,369,2023-08-13,0,2023-08-31,291.90,-3.59,0,0.0,0,302.77,s,779,2022-02-12,
issuancePoW,271.33,161.03,318.76,2023-08-09,161.03,2023-08-29,247.43,-2.76,"7,175.42",-9.03,"7,887.67",254.44,dcr,"6,676.61",2017-04-25,
issuancePoS,"2,149.94","1,282.63","2,526.49",2023-08-09,"1,282.63",2023-08-29,"1,960.84",-2.76,"56,864.48",-9.03,"62,510.81","2,016.48",dcr,"3,608.43",2022-07-28,
issuanceTres,270.31,160.75,317.73,2023-08-09,160.75,2023-08-29,246.51,-2.68,"7,148.79",-8.96,"7,852.46",253.31,dcr,"1,083.50",2017-04-25,
issuancePoWUSD,"3,899.85","2,200.84","4,608.57",2023-08-09,"2,200.84",2023-08-29,"3,432.71",-12.15,"99,548.56",-17.82,"121,129.63","3,907.41",USD,"552,086.73",2021-04-22,
issuancePoSUSD,"30,901.27","17,530.04","36,527.51",2023-08-09,"17,530.04",2023-08-29,"27,203.90",-12.15,"788,913.02",-17.82,"959,987.26","30,967.33",USD,"275,818.64",2021-04-22,
issuanceTresUSD,"3,885.19","2,197.01","4,593.68",2023-08-09,"2,197.01",2023-08-29,"3,419.95",-12.08,"99,178.59",-17.76,"120,591.46","3,890.05",USD,"91,939.55",2021-04-22,
PrivacyVol,"439,804.98",0,"497,246.51",2023-08-09,0,2023-08-31,"356,743.45",-12.55,"11,059,046.96",-12.55,"12,646,760.73","407,960.02",DCR,"864,836.92",2023-02-11,
PrivacyVolUSD,"6,321,354.98",0,"7,189,095.38",2023-08-09,0,2023-08-31,"4,951,693.77",-20.91,0,0.0,0,"6,260,647.16",USD,"138,667,322.97",2016-02-08,
PrivacyMixedPC,62.46,62.49,62.50,2023-08-29,62.45,2023-08-11,62.47,0.2,0,0.0,0,62.34,%,62.46,2023-07-27,*
PrivacyMixedDCR,"9,605,838.05","9,653,075.91","9,655,591.60",2023-08-29,"9,605,838.05",2023-08-01,"9,630,171.31",0.71,0,0.0,0,"9,562,553.91",DCR,"9,604,645.67",2023-07-31,*
NodeCount,164,159,167,2023-08-27,157,2023-08-08,162.09,-1.99,0,0.0,0,165.39,nodes,188,2023-01-24,
treasuryBalanceDCR,"818,861.43",0,"825,613.71",2023-08-28,0,2023-08-30,"769,121.44",-6.07,0,0.0,0,"818,796.96",DCR,"822,039.65",2023-07-25,
treasuryBalanceUSD,"11,769,566.11",0,"12,113,945.68",2023-08-14,0,2023-08-30,"10,667,595.66",-15.1,0,0.0,0,"12,565,018.72",USD,"164,341,901.44",2021-04-16,
lnChannels,444,436,446,2023-08-02,431,2023-08-08,437.31,-0.8,0,0.0,0,440.84,chCount,450,2023-07-21,
lnNodes,219,215,219,2023-08-01,213,2023-08-08,215.41,-0.05,0,0.0,0,215.52,Nodes,219,2023-07-26,
lnCapacity,186.04,186.88,189.54,2023-08-02,179.87,2023-08-09,184.62,-4.12,0,0.0,0,192.56,DCR,195.67,2023-07-07,
PriceUSD,14.37,13.67,14.74,2023-08-14,12.76,2023-08-22,13.87,-9.62,0,0.0,0,15.35,USD,246.11,2021-04-16,
CapMarketUSD,"221,744,208.95","211,871,751.89","227,812,102.02",2023-08-14,"197,525,895.18",2023-08-22,"214,475,319.06",-9.15,0,0.0,0,"236,071,434.76",USD,"3,157,037,776.52",2021-04-16,
CapRealUSD,"340,094,857.63","328,387,134.87","340,094,857.63",2023-08-01,"328,355,385.49",2023-08-28,"334,749,071.85",-2.96,0,0.0,0,"344,973,466.99",USD,"1,955,635,188.54",2021-05-14,
SupplyAdjustedSRV,"247,775,362.95","233,778,307.19","247,775,362.95",2023-08-01,"233,778,307.19",2023-08-29,"241,769,943.36",-4.66,0,0.0,0,"253,599,071.62",USD,"2,592,580,126.76",2021-05-12,
StakedRealizedValUSD,"157,262,990","147,165,783.73","157,262,990",2023-08-01,"147,165,783.73",2023-08-29,"153,087,540.74",-5.36,0,0,0,"161,761,488.92",USD,"1,496,856,556.74",2021-05-14,
