id,Open,Close,High,High Date,Low,Low Date,MoMean,MoMeanChg,MoSum,MoSumChg,PrevMoSum,PrevMoMean,Units,PrevMaxVal,PrevMaxDate,New ATH
treasuryBalanceDCR,"871,403.27","874,426.74","874,426.74",2024-03-31,"869,711.65",2024-03-10,"872,113.75",0.48,0,0.0,0,"867,917.21",DCR,"878,225.65",2023-11-21,
treasuryBalanceUSD,"19,487,895.98","24,896,034.01","27,213,421.20",2024-03-13,"19,487,895.98",2024-03-01,"23,099,852.22",50.56,0,0.0,0,"15,342,820.08",USD,"164,339,726.84",2021-04-16,
ticketprice,238.09,239.11,252.32,2024-03-06,221.64,2024-03-29,240.66,-2.89,0,0.0,0,247.83,DCR,700.70,2023-10-13,
stakepart,62.13,61.96,62.35,2024-03-14,60.41,2024-03-29,62.00,1.83,0,0.0,0,60.89,%,65.43,2023-04-07,
ticketpoolval,"9,872,743.20","9,889,409.83","9,926,881.56",2024-03-14,"9,638,989.77",2024-03-29,"9,874,211.61",2.27,0,0.0,0,"9,655,316.58",DCR,"9,920,682.91",2024-02-17,*
votesMissed,6,3,75,2024-03-17,2,2024-03-15,9.42,120.29,292,135.48,124,4.28,votes,987,2022-05-12,
ticketExpired,5,13,19,2024-03-13,0,2024-03-27,8.68,-5.75,269,0.75,267,9.21,tickets,74,2022-06-01,
ticketsRevoked,11,16,86,2024-03-17,5,2024-03-22,18.10,34.22,561,43.48,391,13.48,tickets,"1,003",2022-05-12,
votes,"1,169","1,377","1,797",2024-03-28,"1,103",2024-03-22,"1,428.16",-1.09,"44,273",5.74,"41,871","1,443.83",votes,"4,807",2023-09-06,
tickets,"1,142","1,345","2,690",2024-03-29,"1,005",2024-03-27,"1,455.84",-1.02,"45,131",5.81,"42,654","1,470.83",tickets,"7,166",2016-02-09,
ticketpoolsize,"41,202","41,465","41,465",2024-03-31,"40,169",2024-03-29,"40,952.03",-0.07,0,0.0,0,"40,980.17",tickets,"45,872",2023-10-09,
ticketpriceUSD,238.09,239.11,252.32,2024-03-06,221.64,2024-03-29,240.66,-2.89,0,0.0,0,247.83,DCR,700.70,2023-10-13,
networkhashps,"8,678.15","9,645.18","14,043.03",2024-03-09,"5,899.22",2024-03-24,"10,119.55",2.82,0,0.0,0,"9,842.37",GH/s,"594,150,473.86",2019-07-23,
TxTfrValAdjNtv,"75,861.99","64,209.76","178,025.27",2024-03-29,"54,398.44",2024-03-24,"90,087.70",-28.98,"2,792,718.73",-24.08,"3,678,545.05","126,846.38",DCR,"1,535,102.31",2021-02-13,
