id,Open,Close,High,High Date,Low,Low Date,MoMean,MoMeanChg,MoSum,MoSumChg,PrevMoSum,PrevMoMean,Units,PrevMaxVal,PrevMaxDate,New ATH
NodeCount,147,167,172,27/06/2023,144,02/06/2023,157.9,2.17,0,0,0,154.55,nodes,188,24/01/2023,
ticketprice,274.98,192.31,327.64,21/06/2023,175.39,07/06/2023,243.72,-0.91,0,0,0,245.95,DCR,496.5,05/02/2023,
stakepart,61.97,62.69,63.81,20/06/2023,61.19,04/06/2023,62.37,-2.15,0,0,0,63.74,%,65.29,07/04/2023,
ticketpoolval,"9,458,893.36","9,618,582.83","9,774,379.52",20/06/2023,"9,344,510.20",04/06/2023,"9,544,481.56",-1.61,0,0,0,"9,700,588.61",DCR,"9,895,317.67",07/05/2023,
missedVotes,2,5,69,14/06/2023,0,07/06/2023,4.95,54.85,297,52.31,195,3.2,votes,128,26/06/2016,
votes,"1,426","1,398","1,768",29/06/2023,"1,163",13/06/2023,"1,434.50",0.51,"43,035",-2.73,"44,242","1,427.16",votes,"2,174",13/08/2022,
tickets,"1,265","3,043","3,043",30/06/2023,950,21/06/2023,"1,539.30",10.47,"46,179",6.91,"43,195","1,393.39",tickets,"7,166",09/02/2016,
Hashrate,"65,972","62,777","69,178",25/06/2023,"46,354",15/06/2023,"59,248.03",-17.7,0,0,0,"71,988.29",TH/s,"595,057",23/07/2019,
TxTfrValAdjNtv,"115,930.55","219,977.38","419,204.92",29/06/2023,"87,057.21",22/06/2023,"179,406.57",23.76,"5,382,197.24",19.77,"4,493,835.52","144,962.44",DCR,"1,535,102.31",13/02/2021,
TxTfrValAdjUSD,"1,798,710.53","3,482,487.87","6,614,144.60",29/06/2023,"1,191,930.41",13/06/2023,"2,574,121.44",3.57,"77,223,643.10",0.23,"77,049,933.71","2,485,481.73",USD,"258,376,309.02",29/04/2021,
dexVolumeUSD,"14,894.80","9,498.67","42,447.43",24/06/2023,"1,121.63",16/06/2023,"19,254.97",49.93,"577,649.19",45.1,"398,110.54","12,842.28",USD,"11,222,193.49",07/04/2021,
dexVolumeDCR,960,600,"2,920",24/06/2023,80,16/06/2023,"1,358.67",83.44,"40,760",77.53,"22,960",740.65,DCR,"61,720",07/04/2021,
feesDCR,0.02,0.03,0.04,29/06/2023,0,17/06/2023,0.01,31.3,0.39,27.07,0.31,0.01,DCR,426.94,09/02/2016,
txCount,"5,114","7,066","7,128",29/06/2023,"4,078",13/06/2023,"5,248.87",5.36,"157,466",1.96,"154,440","4,981.94",tx,"11,139",16/02/2021,
blkSize,5.12,12.35,12.35,30/06/2023,4.12,28/06/2023,6.38,8.93,191.48,5.42,181.63,5.86,MB,32.39,08/03/2022,
blkchainSize,"10,935.60","11,121.97","11,121.97",30/06/2023,"10,935.60",01/06/2023,"11,029.91",1.71,0,0,0,"10,844.26",MB,"10,930.48",31/05/2023,
blkTime,337,244,370,14/06/2023,244,30/06/2023,302.63,0.81,0,0,0,300.19,s,779,12/02/2022,
issuancePoW,257.47,244.85,319.94,16/06/2023,211.16,13/06/2023,258.44,-1.25,"7,753.34",-4.43,"8,113.08",261.71,dcr,"6,676.61",25/04/2017,
