id,Open,Close,High,High Date,Low,Low Date,MoMean,MoMeanChg,MoSum,MoSumChg,PrevMoSum,PrevMoMean,Units,PrevMaxVal,PrevMaxDate,New ATH
treasuryBalanceDCR,"873,486.34","871,828.11","878,225.65",2023-11-21,"870,045.82",2023-11-22,"874,398.52",0.53,0,0,0,"869,821.79",DCR,"874,279.91",2023-10-01,
treasuryBalanceUSD,"11,454,697.62","12,546,337.50","13,587,167.33",2023-11-15,"11,454,697.62",2023-11-01,"12,587,112.05",13.96,0,0,0,"11,045,475.93",USD,"164,339,726.84",2021-04-16,
ticketprice,293.69,238.51,324.34,2023-11-03,224.27,2023-11-14,253.04,-24.62,0,0,0,335.7,DCR,700.7,2023-10-13,
stakepart,63.08,62.57,63.08,2023-11-01,59.36,2023-11-06,62.38,3.27,0,0,0,60.4,%,65.43,2023-04-07,
ticketpoolval,"9,846,498.76","9,809,279.51","9,846,498.76",2023-11-01,"9,272,568.57",2023-11-06,"9,758,008.36",3.76,0,0,0,"9,404,792.40",DCR,"9,895,317.67",2023-05-07,
votes,"1,494","1,454","1,748",2023-11-21,"1,202",2023-11-16,"1,399.87",-2.7,"41,996",-5.84,"44,601","1,438.74",votes,"4,825",2023-09-06,
tickets,"1,158","1,456","2,888",2023-11-06,57,2023-11-04,"1,365.03",-7.84,"40,951",-10.81,"45,916","1,481.16",tickets,"7,166",2016-02-09,
TxTfrValAdjNtv,"103,032.00","265,266.15","418,349.62",2023-11-06,"17,464.15",2023-11-04,"135,473.13",-18.81,"4,064,193.95",-21.43,"5,172,664.76","166,860.15",DCR,"1,535,102.31",2021-02-13,
TxTfrValAdjUSD,"1,351,137.76","3,817,402.28","5,910,960.64",2023-11-06,"236,787.58",2023-11-04,"1,951,985.60",-8.68,"58,559,568.13",-11.63,"66,264,668.95","2,137,569.97",USD,"258,376,309.02",2021-04-29,
dexVolumeUSD,"2,098.20",575.63,"33,368.24",2023-11-28,0,2023-11-04,"3,840.80",-20.3,"115,224.08",-22.87,"149,389.85","4,819.03",USD,"11,222,193.49",2021-04-07,
dexVolumeDCR,160,40,"2,400",2023-11-28,0,2023-11-04,272,-26.81,"8,160",-29.17,"11,520",371.61,DCR,"61,720",2021-04-07,
feesDCR,0.01,0.02,0.06,2023-11-16,0,2023-11-04,0.02,-41.45,0.48,-43.33,0.84,0.03,DCR,426.94,2016-02-09,
txCount,"4,526","5,264","7,090",2023-11-06,"2,215",2023-11-04,"4,880.73",-2.24,"146,422",-5.39,"154,762","4,992.32",tx,"12,778",2023-09-07,
blkSize,6.15,6.17,11.01,2023-11-06,0.74,2023-11-04,5.94,-7.42,178.06,-10.41,198.75,6.41,MB,32.39,2022-03-08,
blkchainSize,"11,893.85","12,065.76","12,065.76",2023-11-30,"11,893.85",2023-11-01,"11,978.26",1.62,0,0,0,"11,787.85",MB,"11,887.70",2023-10-31,
blkTime,290,347,353,2023-11-17,246,2023-11-22,307.37,3.78,0,0,0,296.16,s,819,2023-09-02,
issuancePoW,27.28,26.66,31.83,2023-11-21,21.91,2023-11-02,25.75,-3.8,772.49,-6.9,829.73,26.77,dcr,"6,676.61",2017-04-25,
issuancePoS,"2,223.25","2,149.50","2,584.13",2023-11-21,"1,776.96",2023-11-16,"2,078.20",-4.05,"62,345.99",-7.14,"67,140.40","2,165.82",dcr,"7,394.91",2023-09-06,
issuanceTres,251.64,243.34,291.51,2023-11-21,202.64,2023-11-16,235.22,-4.28,"7,056.45",-7.37,"7,618.05",245.74,dcr,"1,083.50",2017-04-25,
issuancePoWUSD,357.74,383.66,463.31,2023-11-15,288,2023-11-02,370.99,9.04,"11,129.63",5.52,"10,547.44",340.24,USD,"552,086.73",2021-04-22,
issuancePoSUSD,"29,155.19","30,933.11","36,865.51",2023-11-15,"23,905.41",2023-11-02,"29,923.41",8.76,"897,702.32",5.25,"852,926.40","27,513.75",USD,"275,818.64",2021-04-22,
issuanceTresUSD,"3,299.95","3,501.87","4,172.85",2023-11-15,"2,701.39",2023-11-02,"3,386.86",8.48,"101,605.73",4.98,"96,785.08","3,122.10",USD,"91,939.55",2021-04-22,
PrivacyVol,"443,439.09","417,027.70","1,032,355.21",2023-11-06,0,2023-11-04,"420,463.98",-11.72,"12,613,919.42",-14.57,"14,764,495.88","476,274.06",DCR,"1,035,530.39",2023-10-07,
PrivacyVolUSD,"5,815,157.50","6,001,378.28","14,586,390.81",2023-11-06,0,2023-11-04,"6,074,414.31",0.12,0,0,0,"6,066,988.14",USD,"138,667,322.97",2016-02-08,
PrivacyMixedPC,62.21,62.23,62.32,2023-11-24,62.15,2023-11-06,62.25,-0.18,0,0,0,62.36,%,62.58,2023-10-01,
PrivacyMixedDCR,"9,710,572.77","9,756,019.12","9,760,617.37",2023-11-24,"9,708,454.46",2023-11-06,"9,737,395.12",0.29,0,0,0,"9,709,560.16",DCR,"9,733,635.44",2023-10-10,*
NodeCount,155,151,158,2023-11-03,150,2023-11-08,153.87,3.2,0,0,0,149.1,nodes,188,2023-01-24,
lnChannels,449,420,451,2023-11-19,420,2023-11-30,448.43,2.69,0,0,0,436.68,chCount,450,2023-07-21,*
lnNodes,220,220,221,2023-11-28,219,2023-11-03,220.03,3.08,0,0,0,213.45,Nodes,219,2023-07-26,*
lnCapacity,203.91,206.85,209.63,2023-11-19,202.86,2023-11-12,206.8,5.99,0,0,0,195.12,DCR,203.81,2023-10-31,*
CapMarketBTC,"5,800.21","6,009.15","6,686.52",2023-11-07,"5,786.22",2023-11-28,"6,178.19",-8.17,0,0,0,"6,728.18",BTC,"118,384.72",2018-06-14,
CapRealBTC,"12,642.49","11,802.84","12,642.49",2023-11-01,"11,802.84",2023-11-30,"12,343.99",-5.76,0,0,0,"13,098.68",BTC,"75,622.12",2018-06-22,
SupplyAdjustedSRVBTC,"7,292.68","6,867.12","7,514.59",2023-11-06,"6,867.12",2023-11-30,"7,089.65",-11.08,0,0,0,"7,972.66",BTC,"101,823.79",2018-06-24,
StakedRealizedValBTC,"4,582.06","4,277.57","4,582.06",2023-11-01,"4,277.57",2023-11-30,"4,403.49",-8.03,0,0,0,"4,788.00",BTC,"48,294.48",2018-06-27,
PriceBTC,0.00037011,0.00038159,0.00042628,2023-11-07,0.00036754,2023-11-28,0.00039331,-8.63,0,0,0,0.00043046,BTC,0.01721127,2017-06-22,
PriceUSD,13.11,14.39,15.5,2023-11-15,13.11,2023-11-01,14.39,13.35,0,0,0,12.7,USD,246.11,2021-04-16,
CapMarketUSD,"205,512,779.94","226,621,235.56","243,355,611.14",2023-11-15,"205,512,779.94",2023-11-01,"226,117,799.11",13.91,0,0,0,"198,504,730.35",USD,"3,157,037,776.52",2021-04-16,
CapRealUSD,"314,449,104.95","322,081,172.47","324,575,134.26",2023-11-22,"314,449,104.95",2023-11-01,"320,158,740.84",0.97,0,0,0,"317,091,923.16",USD,"1,955,635,188.54",2021-05-14,
SupplyAdjustedSRV,"214,759,466.83","232,057,727.58","232,473,872.70",2023-11-29,"208,464,162.86",2023-11-04,"224,860,060.16",2.01,0,0,0,"220,438,131.15",USD,"2,592,580,126.76",2021-05-12,
StakedRealizedValUSD,"134,935,406.09","144,550,173.85","144,550,173.85",2023-11-30,"127,866,546.77",2023-11-05,"139,684,735.95",5.44,0,0,0,"132,472,869.67",USD,"1,496,856,556.74",2021-05-14,
votesMissed,11,11,18,2023-11-12,3,2023-11-20,10.3,-27.27,309,-29.61,439,14.16,votes,987,2022-05-12,
ticketExpired,8,6,20,2023-11-19,2,2023-11-27,8.67,-14.16,260,-16.93,313,10.1,tickets,74,2022-06-01,
ticketsRevoked,19,17,30,2023-11-19,12,2023-11-27,18.97,-21.81,569,-24.34,752,24.26,tickets,"1,003",2022-05-12,
PoWAddressCount,41,27,41,2023-11-01,23,2023-11-24,30.97,-30.79,0,0,0,44.74,addresses,135,2023-09-06,
networkhashps,"13,722.74","5,524.60","15,944.36",2023-11-15,"5,015.20",2023-11-29,"10,010.14",0.67,0,0,0,"9,943.29",GH/s,"594,150,473.86",2019-07-23,
