id,Open,Close,High,High Date,Low,Low Date,MoMean,MoMeanChg,MoSum,MoSumChg,PrevMoSum,PrevMoMean,Units,PrevMaxVal,PrevMaxDate,New ATH
treasuryBalanceDCR,"871,103.59","864,478.22","874,815.28",2024-01-17,"862,355.00",2024-01-22,"869,474.57",-0.34,0,0.0,0,"872,411.14",DCR,"878,225.65",2023-11-21,
treasuryBalanceUSD,"15,989,028.71","13,664,787.85","15,989,028.71",2024-01-01,"12,159,335.62",2024-01-23,"13,955,316.31",-0.02,0,0.0,0,"13,957,970.76",USD,"164,339,726.84",2021-04-16,
ticketprice,240.60,228.63,274.79,2024-01-25,186.80,2024-01-19,238.86,-0.13,0,0.0,0,239.17,DCR,700.70,2023-10-13,
stakepart,62.30,60.36,62.74,2024-01-07,59.53,2024-01-29,61.70,-1.07,0,0.0,0,62.37,%,65.43,2023-04-07,
ticketpoolval,"9,814,227.72","9,550,827.79","9,900,078.11",2024-01-22,"9,415,956.88",2024-01-29,"9,741,439.17",-0.62,0,0.0,0,"9,801,816.66",DCR,"9,895,317.67",2023-05-07,*
votesMissed,4,3,48,2024-01-18,2,2024-01-09,7.06,5.29,219,5.29,208,6.71,votes,987,2022-05-12,
ticketExpired,10,6,25,2024-01-29,1,2024-01-24,10.35,-9.32,321,-9.32,354,11.42,tickets,74,2022-06-01,
ticketsRevoked,14,9,56,2024-01-18,9,2024-01-24,17.42,-3.91,540,-3.91,562,18.13,tickets,"1,003",2022-05-12,
votes,"1,246","1,332","1,622",2024-01-30,"1,246",2024-01-01,"1,434.39",-1.45,"44,466",-1.45,"45,122","1,455.55",votes,"4,807",2023-09-06,
tickets,"1,252","1,667","3,634",2024-01-19,606,2024-01-25,"1,455.23",-1.44,"45,112",-1.44,"45,773","1,476.55",tickets,"7,166",2016-02-09,
ticketpoolsize,"40,952","40,482","42,725",2024-01-22,"39,666",2024-01-18,"40,942.45",-0.02,0,0.0,0,"40,948.81",tickets,"45,872",2023-10-09,
ticketpriceUSD,240.60,228.63,274.79,2024-01-25,186.80,2024-01-19,238.86,-0.13,0,0.0,0,239.17,DCR,700.70,2023-10-13,
networkhashps,"8,018.21","9,449.57","11,386.08",2024-01-30,"6,534.30",2024-01-10,"8,373.97",20.66,0,0.0,0,"6,940.41",GH/s,"594,150,473.86",2019-07-23,
TxTfrValAdjNtv,"161,877.99","171,015.68","415,886.44",2024-01-19,"38,794.96",2024-01-14,"157,697.90",6.29,"4,888,635.03",6.29,"4,599,278.54","148,363.82",DCR,"1,535,102.31",2021-02-13,
TxTfrValAdjUSD,"2,971,256.00","2,703,240.96","6,405,829.45",2024-01-19,"629,743.13",2024-01-14,"2,535,966.87",6.4,"78,614,973.12",6.4,"73,883,128.88","2,383,326.74",USD,"258,376,309.02",2021-04-29,
dexVolumeUSD,"1,468.39",0,"17,620.54",2024-01-26,0,2024-01-06,"2,549.79",-47.13,"76,493.61",-48.84,"149,513.21","4,823.01",USD,"6,683,905.40",2021-08-01,
dexVolumeDCR,80,0,"1,200",2024-01-26,0,2024-01-06,162.67,-45.66,"4,880",-47.41,"9,280",299.35,DCR,"44,600",2021-08-01,
feesDCR,0.00,0.01,0.11,2024-01-18,0.00,2024-01-25,0.01,33.48,0.40,33.48,0.30,0.01,DCR,426.94,2016-02-09,
txCount,"4,739","5,440","8,190",2024-01-19,"3,408",2024-01-25,"5,261.29",-1.85,"163,100",-1.85,"166,179","5,360.61",tx,"12,778",2023-09-07,
blkSize,5.37,6.18,10.57,2024-01-19,2.53,2024-01-25,6.26,-2.78,194.03,-2.78,199.57,6.44,MB,32.39,2022-03-08,
blkchainSize,"12,270.70","12,459.36","12,459.36",2024-01-31,"12,270.70",2024-01-01,"12,364.66",1.62,0,0.0,0,"12,167.04",MB,"12,265.33",2023-12-31,
blkTime,302,265,346,2024-01-02,265,2024-01-31,299,0.87,0,0.0,0,296.42,s,819,2023-09-02,
issuancePoW,22.33,24.23,29.57,2024-01-30,22.29,2024-01-25,25.53,-3.48,791.34,-3.48,819.87,26.45,dcr,"6,676.61",2017-04-25,
issuancePoS,"1,805.71","1,904.05","2,327.34",2024-01-30,"1,805.71",2024-01-01,"2,066.99",-3.04,"64,076.57",-3.04,"66,086.60","2,131.83",dcr,"7,394.91",2023-09-06,
issuanceTres,203.54,214.42,262.78,2024-01-30,203.54,2024-01-01,233.36,-3.02,"7,234.30",-3.02,"7,459.58",240.63,dcr,"1,083.50",2017-04-25,
issuanceDCR,"2,031.58","2,142.70","2,619.69",2024-01-30,"2,031.58",2024-01-01,"2,325.88",-3.04,"72,102.21",-3.04,"74,366.05","2,398.90",dcr,"11,010.61",2017-04-25,
inflationRate,0.00,0.00,0.00,2024-01-30,0.00,2024-01-01,0.00,-3.54,0,0.0,0,0.00,%,0.01,2016-02-24,
issuancePoWUSD,409.87,383,494.20,2024-01-30,314.44,2024-01-25,409.84,-3.3,"12,704.94",-3.3,"13,137.94",423.80,USD,"552,086.73",2021-04-22,
issuancePoSUSD,"33,143.65","30,097.28","38,896.71",2024-01-30,"27,083.18",2024-01-25,"33,175.95",-2.86,"1,028,454.41",-2.86,"1,058,712.98","34,152.03",USD,"275,818.64",2021-04-22,
issuanceTresUSD,"3,735.96","3,389.33","4,391.83",2024-01-30,"3,058.96",2024-01-25,"3,745.35",-2.84,"116,105.83",-2.84,"119,498.66","3,854.80",USD,"91,939.55",2021-04-22,
issuanceUSD,"37,289.48","33,869.61","43,782.74",2024-01-30,"30,456.58",2024-01-25,"37,331.13",-2.86,"1,157,265.18",-2.86,"1,191,349.58","38,430.63",USD,"919,844.92",2021-04-22,
PrivacyVol,"324,792.38","424,601.74","769,895.47",2024-01-19,"197,432.37",2024-01-25,"387,464.39",-5.61,"12,011,396.12",-5.61,"12,724,702.44","410,474.27",DCR,"1,035,530.39",2023-10-07,
PrivacyVolUSD,"5,961,535.09","6,711,670.26","11,858,571.60",2024-01-19,"2,785,177.94",2024-01-25,"6,223,401.24",-5.38,"192,925,438.39",-5.38,"203,891,567.01","6,577,147.32",USD,"138,667,322.97",2016-02-08,
PrivacyMixedPC,62.26,61.78,62.26,2024-01-01,61.51,2024-01-22,62.00,-0.4,0,0.0,0,62.25,%,62.58,2023-10-01,
PrivacyMixedDCR,"9,807,220.34","9,774,592.53","9,826,781.55",2024-01-15,"9,719,000.09",2024-01-22,"9,787,956.39",0.07,0,0.0,0,"9,781,588.19",DCR,"9,805,424.67",2023-12-31,*
NodeCount,145,136,150,2024-01-13,135,2024-01-29,142.58,-2.1,0,0.0,0,145.65,nodes,188,2023-01-24,
NodeCount,145,136,150,2024-01-13,135,2024-01-29,142.58,-2.1,0,0.0,0,145.65,nodes,188,2023-01-24,
lnChannels,420,428,428,2024-01-31,415,2024-01-05,420.54,-0.09,0,0.0,0,420.90,chCount,451,2023-11-19,
lnNodes,221,224,224,2024-01-24,220,2024-01-05,221.65,0.53,0,0.0,0,220.48,Nodes,221,2023-11-28,*
lnCapacity,207.29,206.83,207.29,2024-01-01,202.89,2024-01-05,205.33,-0.93,0,0.0,0,207.25,DCR,209.63,2023-11-19,
CapMarketBTC,"6,597.08","5,905.09","6,892.67",2024-01-27,"5,270.89",2024-01-09,"5,936.75",-0.06,0,0.0,0,"5,940.30",BTC,"118,384.72",2018-06-14,
CapRealBTC,"11,665.32","11,319.27","11,665.32",2024-01-01,"11,277.81",2024-01-26,"11,450.27",-1.11,0,0.0,0,"11,578.43",BTC,"75,622.12",2018-06-22,
SupplyAdjustedSRVBTC,"6,451.74","6,340.87","6,516.82",2024-01-19,"6,115.25",2024-01-25,"6,330.84",-0.48,0,0.0,0,"6,361.63",BTC,"101,823.79",2018-06-24,
StakedRealizedValBTC,"3,999.38","3,806.32","4,029.73",2024-01-05,"3,717.27",2024-01-27,"3,886.29",-1.6,0,0.0,0,"3,949.33",BTC,"48,294.48",2018-06-27,
PriceBTC,0.00041669,0.00037115,0.00043348,2024-01-27,0.00033253,2024-01-09,0.00037409,-0.56,0,0.0,0,0.00037618,BTC,0.01721127,2017-06-22,
PriceUSD,18.35,15.81,18.35,2024-01-01,14.10,2024-01-23,16.05,0.29,0,0.0,0,16.00,USD,246.11,2021-04-16,
CapMarketUSD,"290,597,965.47","251,494,589.58","290,597,965.47",2024-01-01,"224,014,569.95",2024-01-23,"254,678,948.20",0.78,0,0.0,0,"252,696,273.93",USD,"3,157,037,776.52",2021-04-16,
CapRealUSD,"344,574,280.66","344,979,920.11","345,987,303.81",2024-01-16,"341,240,907.28",2024-01-26,"344,633,492.52",4.77,0,0.0,0,"328,949,590.76",USD,"1,955,635,188.54",2021-05-14,
SupplyAdjustedSRV,"257,417,135.44","264,605,910.59","271,235,638.06",2024-01-19,"253,593,653.40",2024-01-25,"260,997,187.75",10.49,0,0.0,0,"236,226,045.47",USD,"2,592,580,126.76",2021-05-12,
StakedRealizedValUSD,"159,570,744.42","158,838,530.08","163,384,726.57",2024-01-06,"154,314,780.78",2024-01-27,"160,199,795.59",9.25,0,0,0,"146,642,228.62",USD,"1,496,856,556.74",2021-05-14,
