id,Open,Close,High,High Date,Low,Low Date,MoMean,MoMeanChg,MoSum,MoSumChg,PrevMoSum,PrevMoMean,Units,PrevMaxVal,PrevMaxDate,New ATH
ticketprice,196.32,244.3,277.15,10/07/2023,196.32,01/07/2023,242.49,-0.5,0,0,0,243.72,DCR,496.5,05/02/2023,
stakepart,63.38,63.5,64.24,03/07/2023,63.29,16/07/2023,63.79,2.28,0,0,0,62.37,%,65.29,07/04/2023,
ticketpoolval,"9,725,001.61","9,791,780.38","9,865,803.22",07/07/2023,"9,725,001.61",01/07/2023,"9,812,449.01",2.81,0,0,0,"9,544,481.56",DCR,"9,895,317.67",07/05/2023,
missedVotes,1,1,9,10/07/2023,0,06/07/2023,3.47,-29.94,215,-27.61,297,4.95,votes,128,26/06/2016,
votes,"1,217","1,389","1,781",03/07/2023,"1,217",01/07/2023,"1,432.45",-0.14,"44,406",3.19,"43,035","1,434.50",votes,"2,174",13/08/2022,
tickets,"1,577","1,406","2,039",03/07/2023,"1,070",08/07/2023,"1,444.23",-6.18,"44,771",-3.05,"46,179","1,539.30",tickets,"7,166",09/02/2016,
Hashrate,"51,898","55,439","69,120",20/07/2023,"49,409",02/07/2023,"58,967.19",-0.47,0,0,0,"59,248.03",TH/s,"595,057",23/07/2019,
TxTfrValAdjNtv,"103,201.24","100,829.44","359,065.20",19/07/2023,"86,276.73",09/07/2023,"122,646.87",-31.64,"3,802,052.96",-29.36,"5,382,197.24","179,406.57",DCR,"1,535,102.31",13/02/2021,
TxTfrValAdjUSD,"1,621,885.46","1,483,830.77","5,314,602.29",19/07/2023,"1,288,120.17",29/07/2023,"1,893,012.49",-26.46,"58,683,387.13",-24.01,"77,223,643.10","2,574,121.44",USD,"258,376,309.02",29/04/2021,
dexVolumeUSD,"6,286.30","3,531.90","25,051.53",03/07/2023,0,08/07/2023,"4,320.76",-77.56,"133,943.60",-76.81,"577,649.19","19,254.97",USD,"11,222,193.49",07/04/2021,
dexVolumeDCR,400,240,"1,480",03/07/2023,0,08/07/2023,277.42,-79.58,"8,600",-78.9,"40,760","1,358.67",DCR,"61,720",07/04/2021,
feesDCR,0,0.01,0.02,22/07/2023,0,13/07/2023,0.01,-12.97,0.35,-10.07,0.39,0.01,DCR,426.94,09/02/2016,
txCount,"4,700","4,849","6,063",03/07/2023,"4,195",08/07/2023,"4,952.13",-5.65,"153,516",-2.51,"157,466","5,248.87",tx,"11,139",16/02/2021,
blkSize,6.34,5.98,7.67,03/07/2023,4.78,08/07/2023,6.03,-5.51,186.97,-2.36,191.48,6.38,MB,32.39,08/03/2022,
blkchainSize,"11,128.31","11,308.93","11,308.93",31/07/2023,"11,128.31",01/07/2023,"11,218.78",1.71,0,0,0,"11,029.91",MB,"11,121.97",30/06/2023,
blkTime,319,312,371,02/07/2023,249,04/07/2023,302.71,0.03,0,0,0,302.63,s,779,12/02/2022,
issuancePoW,206.86,247.23,309.38,03/07/2023,206.86,01/07/2023,254.44,-1.55,"7,887.67",1.73,"7,753.34",258.44,dcr,"6,676.61",25/04/2017,
issuancePoS,"1,634.13","1,959.31","2,451.90",03/07/2023,"1,634.13",01/07/2023,"2,016.48",-1.53,"62,510.81",1.75,"61,433.33","2,047.78",dcr,"3,608.43",28/07/2022,
issuanceTres,204.8,245.97,308.09,03/07/2023,204.8,01/07/2023,253.31,-1.72,"7,852.46",1.55,"7,732.28",257.74,dcr,"1,083.50",25/04/2017,
issuancePoWUSD,"3,250.96","3,638.30","5,236.78",03/07/2023,"3,250.96",01/07/2023,"3,907.41",5.94,"121,129.63",9.47,"110,650.22","3,688.34",USD,"552,086.73",22/04/2021,
issuancePoSUSD,"25,681.59","28,833.69","41,502.60",03/07/2023,"25,681.59",01/07/2023,"30,967.33",5.96,"959,987.26",9.5,"876,733.72","29,224.46",USD,"275,818.64",22/04/2021,
issuanceTresUSD,"3,218.59","3,619.75","5,214.95",03/07/2023,"3,218.59",01/07/2023,"3,890.05",5.75,"120,591.46",9.27,"110,360.48","3,678.68",USD,"91,939.55",22/04/2021,
PrivacyVol,"364,794.94","399,635.33","485,788.52",03/07/2023,"351,418.34",08/07/2023,"407,960.02",-5.22,"12,646,760.73",-2.06,"12,912,354.74","430,411.82",DCR,"864,836.92",11/02/2023,
PrivacyVolUSD,"5,733,027.89","5,881,131.62","8,222,800.42",03/07/2023,"5,347,686.51",21/07/2023,"6,260,650.25",1.71,0,0,0,"6,155,108.45",USD,"138,667,322.97",08/02/2016,
PrivacyMixedPC,62.02,62.26,62.26,27/07/2023,62.02,01/07/2023,62.15,0.33,0,0,0,61.95,%,62.05,20/06/2023,*
PrivacyMixedDCR,"9,516,164.70","9,600,500.88","9,600,500.88",31/07/2023,"9,516,164.70",01/07/2023,"9,560,580.70",0.85,0,0,0,"9,480,226.10",DCR,"9,514,358.25",30/06/2023,*
NodeCount,170,164,170,01/07/2023,162,06/07/2023,165.39,4.74,0,0,0,157.9,nodes,188,24/01/2023,
treasuryBalanceDCR,"816,015.78","818,685.39","822,109.59",25/07/2023,"816,015.78",01/07/2023,"818,867.47",0.6,0,0,0,"814,004.13",DCR,"815,977.47",13/06/2023,
treasuryBalanceUSD,"12,824,303.99","12,047,975.26","14,637,789.26",04/07/2023,"11,390,143.74",24/07/2023,"12,566,100.90",8.32,0,0,0,"11,600,679.59",USD,"164,341,901.44",16/04/2021,
lnChannels,429,449,450,21/07/2023,428,02/07/2023,440.84,4.09,0,0,0,423.53,chCount,437,20/06/2023,*
lnNodes,212,219,219,26/07/2023,212,01/07/2023,215.52,1.96,0,0,0,211.37,Nodes,215,20/06/2023,*
lnCapacity,192.21,192.15,195.67,07/07/2023,189.02,09/07/2023,192.56,6.96,0,0,0,180.02,DCR,192.24,28/06/2023,*
CapMarketUSD,"241,141,197.93","226,998,804.67","275,127,299.44",04/07/2023,"213,469,213.78",24/07/2023,"236,071,434.76",8.24,0,0,0,"218,094,070.10",USD,"3,157,037,776.52",16/04/2021,
CapRealUSD,"346,189,808.36","340,564,258.58","348,176,850.72",07/07/2023,"340,564,258.58",31/07/2023,"344,973,466.99",-2.92,0,0,0,"355,345,862.03",USD,"1,955,635,188.54",14/05/2021,
SupplyAdjustedSRV,"255,064,841.86","248,243,814.32","256,932,540.90",16/07/2023,"248,101,853.40",30/07/2023,"253,479,839.80",-4.32,0,0,0,"264,914,345.77",USD,"2,592,580,126.76",12/05/2021,
StakedRealizedValUSD,"161,680,857.12","157,584,512.38","164,581,532.14",06/07/2023,"157,584,512.38",31/07/2023,"161,685,482.38",-2.1,0,0,0,"165,149,408.03",USD,"1,496,856,556.74",14/05/2021,
